date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:16	31228/31228	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jul%202020%2014:16:18%20GMT	https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY	C:/My%20Web%20Sites/new/www.shoaib.info.com/index4ae5.html	(from )
20:16:17	24/24	---M--	200	added ('OK')	text/plain	date:Thu,%2009%20Apr%202020%2011:03:32%20GMT	https://www.shoaib.info.com/robots.txt		(from )
20:16:18	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%221574963566%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/new/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:18	28505/28505	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Apr%202020%2006:35:53%20GMT	https://www.shoaib.info.com/images/logo/shoaib3.png	C:/My%20Web%20Sites/new/www.shoaib.info.com/images/logo/shoaib3.png	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:19	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d6874-239b%22	https://blackrockdigital.github.io/startbootstrap-resume/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/new/blackrockdigital.github.io/startbootstrap-resume/vendor/fontawesome-free/css/all.min.2.delayed	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:20	68760/68760	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Apr%202020%2011:03:31%20GMT	https://www.shoaib.info.com/frontend_assets/theme1/animate.css	C:/My%20Web%20Sites/new/www.shoaib.info.com/frontend_assets/theme1/animate.css	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:20	16571/16571	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Apr%202020%2011:03:31%20GMT	https://www.shoaib.info.com/frontend_assets/theme1/style.css	C:/My%20Web%20Sites/new/www.shoaib.info.com/frontend_assets/theme1/style.css	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:21	741/741	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Apr%202020%2011:03:31%20GMT	https://www.shoaib.info.com/frontend_assets/theme_color/light.css	C:/My%20Web%20Sites/new/www.shoaib.info.com/frontend_assets/theme_color/light.css	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:22	72226/72226	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Apr%202020%2011:03:31%20GMT	https://www.shoaib.info.com/frontend_assets/img/shoaib.jpg	C:/My%20Web%20Sites/new/www.shoaib.info.com/frontend_assets/img/shoaib.jpg	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:23	105609/105609	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Apr%202020%2005:52:27%20GMT	https://www.shoaib.info.com/images/profile/shoaib2.jpg	C:/My%20Web%20Sites/new/www.shoaib.info.com/images/profile/shoaib2.jpg	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:24	10372/10372	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jul%202020%2014:16:28%20GMT	https://www.shoaib.info.com/shoaib.info3426	C:/My%20Web%20Sites/new/www.shoaib.info.com/shoaib.info3426	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:28	72226/72226	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Apr%202020%2005:52:27%20GMT	https://www.shoaib.info.com/images/profile/shoaib.png	C:/My%20Web%20Sites/new/www.shoaib.info.com/images/profile/shoaib.png	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:37	31228/31228	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jul%202020%2014:16:38%20GMT	https://www.shoaib.info.com/	C:/My%20Web%20Sites/new/www.shoaib.info.com/index.html	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:40	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/new/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:41	21257/21257	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd449a2-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	C:/My%20Web%20Sites/new/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:43	60010/60010	---M-Z	200	added ('OK')	text/javascript	etag:%221574963572%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	C:/My%20Web%20Sites/new/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
20:16:43	6139/6139	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Apr%202020%2011:03:31%20GMT	https://www.shoaib.info.com/frontend_assets/theme1/wow.min.js	C:/My%20Web%20Sites/new/www.shoaib.info.com/frontend_assets/theme1/wow.min.js	(from https://www.shoaib.info.com/?fbclid=IwAR3D5wrvqrtaoTucn52DvO0R4CKw2X0r3Gu544r0HAj5qy4oov7xjx33oOY)
